name,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um
ind1,52,2.5,12,9.6,12.0,180,180
ind2,58,2.5,12,10.4,14.0,180,180
ind3,64,3.5,12,10.4,14.0,180,180
ind4,70,3.5,12,10.4,15.0,180,180
ind5,76,4.5,12,10.4,15.0,180,180
ind6,82,4.5,12,11.2,16.0,180,180
